#1
float HeatingLoadProfiles(52561,10)
# time,bld1 (W),bld2 (W),bld3 (W),bld4 (W),bld5 (W),bld6 (W),bld7 (W),bld8 (W),District (W)
64200,10603.76367,10603.76367,10603.76465,10603.76465,10603.76367,10603.76367,10603.76465,10603.76465,84830.11328
64800,10615.6377,10615.6377,10615.63867,10615.63867,10615.6377,10615.6377,10615.63867,10615.63867,84925.10547
65400,10623.76367,10623.76367,10623.76367,10623.76367,10623.76367,10623.76367,10623.76367,10623.76367,84990.10938
66000,10636.30176,10636.30176,10636.30273,10636.30273,10636.30176,10636.30176,10636.30273,10636.30273,85090.41797
66600,10649.97363,10649.97363,10649.97363,10649.97461,10649.97363,10649.97363,10649.97363,10649.97363,85199.79004
67200,10664.50586,10664.50586,10664.50586,10664.50684,10664.50586,10664.50586,10664.50586,10664.50586,85316.04785
67800,10679.69922,10679.69922,10679.7002,10679.7002,10679.69922,10679.69922,10679.7002,10679.7002,85437.59766
68400,10695.4082,10695.4082,10695.4082,10695.4082,10695.4082,10695.4082,10695.4082,10695.4082,85563.26562
69000,10711.5459,10711.5459,10711.54688,10711.54688,10711.5459,10711.5459,10711.54688,10711.54688,85692.37109
69600,10728.04297,10728.04297,10728.04297,10728.04297,10728.04297,10728.04297,10728.04297,10728.04297,85824.34375
70200,10219.69434,10219.69434,10219.69531,10219.69629,10219.69434,10219.69434,10219.69531,10219.69531,81757.55957
