"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.15597600000E+006,  0.26942385504E-002,  0.18103429324E-007,  0.00000000000E+000,  0.19077295553E-009,  0.29007567370E-012,  0.00000000000E+000,  0.00000000000E+000
  0.15598800000E+006,  0.26944589632E-002,  0.18106409475E-007,  0.00000000000E+000,  0.19080431046E-009,  0.29012345392E-012,  0.00000000000E+000,  0.00000000000E+000
  0.15601200000E+006,  0.26949019900E-002,  0.18112388084E-007,  0.00000000000E+000,  0.19086721307E-009,  0.29021930811E-012,  0.00000000000E+000,  0.00000000000E+000
  0.15603000000E+006,  0.26952337381E-002,  0.18116867664E-007,  0.00000000000E+000,  0.19091434390E-009,  0.29029112864E-012,  0.00000000000E+000,  0.00000000000E+000
