"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.15597600000E+006,  0.16270090901E-002,  0.10955355633E-007,  0.00000000000E+000,  0.11544614651E-009,  0.17554038473E-012,  0.00000000000E+000,  0.00000000000E+000
  0.15598800000E+006,  0.16271395562E-002,  0.10957150408E-007,  0.00000000000E+000,  0.11546502913E-009,  0.17556916014E-012,  0.00000000000E+000,  0.00000000000E+000
  0.15601200000E+006,  0.16274042488E-002,  0.10960766536E-007,  0.00000000000E+000,  0.11550307437E-009,  0.17562713705E-012,  0.00000000000E+000,  0.00000000000E+000
  0.15603000000E+006,  0.16276027728E-002,  0.10963476454E-007,  0.00000000000E+000,  0.11553158540E-009,  0.17567058483E-012,  0.00000000000E+000,  0.00000000000E+000
