"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.31535160000E+008,  0.66740195303E-001, -0.64377203708E-009,  0.00000000000E+000, -0.33798031946E-011, -0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.31535280000E+008,  0.66738009724E-001, -0.64359338824E-009,  0.00000000000E+000, -0.33788652883E-011, -0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.31535520000E+008,  0.66733639643E-001, -0.64325248398E-009,  0.00000000000E+000, -0.33770755409E-011, -0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.31535700000E+008,  0.66730362752E-001, -0.64300461979E-009,  0.00000000000E+000, -0.33757742539E-011, -0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
