Time_Te,Te,Time_Ns,Ns,Time_Ia,Ia,Time_KW,KW
0.025614732,-11.54722278,0.230515452,615.2161817,0.06,-49.96884562,0.122303672,22.40228688
0.025659487,-4.308051731,0.23338385,623.0904579,0.061,-28.29961578,0.124102564,23.90410959
0.026107034,3.210623996,0.236247223,637.4073239,0.062,-8.059329646,0.127179487,24.93150685
0.026554582,10.72929972,0.239115622,645.2816001,0.063,17.42718085,0.130985437,22.85602418
0.026644092,17.82871844,0.241980112,658.1667795,0.064,39.99703484,0.131362905,21.99896485
0.026697798,25.34739417,0.244370258,664.9672908,0.065,61.19425799,0.132872778,20.73858348
0.027255741,33.13625775,0.247238936,672.4836454,0.066,72.87119404,0.137024926,18.15480168
0.027583942,54.86308773,0.249624894,684.6529814,0.067,80.76983658,0.141932011,20.20922331
0.027583942,47.48416434,0.252493293,692.5272577,0.068,81.49899111,0.142686947,21.2175284
0.027583942,40.10524095,0.255358341,704.6965937,0.069,73.81018541,0.144196819,22.33926782
0.027935587,62.11024463,0.258225623,714.0025566,0.07,60.62786728,0.145641026,23.39041096
0.028523793,77.13961024,0.260613256,724.0243627,0.071,39.55767227,0.148717949,24.82876712
0.028523793,69.76068685,0.262999773,735.4778555,0.072,18.47964065,0.152878585,22.95685468
0.028568547,84.68623643,0.265868171,743.3521317,0.073,-6.232902489,0.154010989,21.93594578
0.028691623,91.83456846,0.268732661,756.2373111,0.074,-28.97938499,0.154765925,20.92764069
0.029224951,99.54656826,0.271599943,765.5432739,0.075,-49.98581527,0.159295542,18.78319182
0.029553153,114.20193,0.274464992,777.71261,0.076,-61.64721417,0.164202627,20.23443093
0.029553153,106.8230066,0.277331157,788.4502594,0.077,-69.2293692,0.165335031,21.41288751
0.029607853,121.4442067,0.28019788,798.4720656,0.078,-68.86312819,0.166467435,22.35187163
0.030483058,129.0964235,0.283062928,810.6414016,0.079,-61.43046053,0.168205128,23.39041096
0.030537758,143.7176236,0.285929652,820.6632078,0.08,-49.04869521,0.171282051,24.52054795
0.030582513,136.1709974,0.2887947,832.8325438,0.081,-27.20213489,0.175526668,23.17427047
0.031477608,150.9288441,0.291661982,842.1385067,0.082,-5.834017254,0.175904137,22.326664
0.031522363,158.4754703,0.294048219,853.949921,0.083,17.77983436,0.177414009,21.33096272
0.033442343,163.7329532,0.296436132,863.6138055,0.084,40.78984679,0.182195271,19.44039067
0.033983876,168.9289451,0.299303972,872.2039251,0.085,62.19654029,0.18685071,20.49911102
0.035109139,154.873853,0.302167345,886.520791,0.086,74.40828041,0.187983114,21.39398179
0.035460784,147.7145404,0.305034627,895.8267539,0.087,82.09103834,0.189492987,22.30145637
0.035505539,140.4753693,0.307898559,909.4277765,0.088,82.67128927,0.190769231,23.39041096
0.036281288,132.6492385,0.310765282,919.4495827,0.089,74.15635251,0.193846154,24.21232877
0.036445389,125.5777702,0.313629772,932.334762,0.09,62.77518411,0.198803866,22.71738223
0.036445389,118.1988468,0.316497054,941.6407249,0.091,41.18044287,0.199810447,21.97375722
0.036937692,110.8199234,0.31888385,952.736296,0.092,19.92765797,0.201571965,20.97850608
0.037429994,103.441,0.321270646,963.8318671,0.093,-4.581384032,0.205128205,19.69178082
0.037429994,96.06207666,0.324137927,973.1378299,0.094,-26.07534682,0.211386134,21.06628264
0.037429994,88.68315327,0.327001859,986.7388525,0.095,-46.89002788,0.212329804,22.00022523
0.037781639,81.52384069,0.329868582,996.7606587,0.096,-59.900287,0.217425623,23.22673384
0.038414599,73.92530649,0.332732514,1010.361681,0.097,-66.99455177,0.217425623,23.7130835
0.038414599,66.5463831,0.335600354,1018.951801,0.098,-66.97546205,0.223087644,22.4148907
0.038414599,59.16745971,0.33798715,1030.047372,0.099,-61.81186384,0.227428527,21.33096272
0.03904756,51.5689255,0.340373946,1041.142943,0.1,-46.64259074,0.230475233,20.66656169
0.039399205,44.10215778,0.343241786,1049.733063,0.101,-25.71211744,0.236299026,21.95107035
0.039399205,37.03068953,0.346105718,1063.334085,0.102,-7.456210445,0.242051282,23.08219178
0.039399205,29.65176614,0.348971883,1074.071735,0.103,19.0816723,0.247623068,22.33926782
0.04038381,21.96538761,0.351838048,1084.809384,0.104,40.25350272,0.253662557,21.26290213
0.04038381,14.89391936,0.354703654,1096.262877,0.105,63.52157202,0.25894711,21.43179323
0.04038381,7.514995974,0.357569261,1107.71637,0.106,74.673955,0.268887102,22.33926782
0.041245339,-0.401973914,0.360434868,1119.169862,0.107,83.11955368,0.280588612,21.46330277
0.041368415,-7.242850807,0.363301033,1129.907512,0.108,83.59759328,0.288892909,21.77839811
0.04141317,-14.48202186,0.366166081,1142.076848,0.109,76.04511638,0.292164299,21.8603229
0.04235302,-22.00069759,0.369033363,1151.382811,0.11,63.89716541,0.303488341,21.35617035
0.043698647,-28.49824957,0.371899528,1162.12046,0.111,42.86117346,0.316923077,21.13013699
0.045262081,-20.91062936,0.374766252,1172.142266,0.112,19.99078877,0.327143006,20.78899874
0.045405296,-14.00686391,0.377631858,1183.595759,0.113,-4.606843878,0.33670553,20.32895954
0.046291441,0.750982866,0.380498582,1193.617565,0.114,-25.01158351,0.34735013,19.77313135
0.046291441,-6.320485383,0.382888449,1200.775998,0.115,-44.04878995,0.355427946,19.25133347
0.046455542,8.027421209,0.385275524,1211.513648,0.116,-58.74337073,0.363883231,18.64291301
0.047231291,23.02750537,0.388143364,1220.103767,0.117,-66.24117206,0.372187528,17.92793303
0.047231291,15.36907731,0.391011204,1228.693887,0.118,-65.58509167,0.380491825,17.1579546
0.047374507,30.26667643,0.393879044,1237.284006,0.119,-58.31003297,0.388418655,16.35875823
0.0480145,37.79932739,0.396744093,1249.453342,0.12,-46.27389344,0.395968016,15.52312539
0.048260651,45.33197835,0.399614166,1255.180089,0.121,-27.29986081,0.403517377,14.65346225
0.048315352,52.57425501,0.40248089,1265.201895,0.122,-5.05949334,0.410311802,13.86320313
0.048424752,59.74820831,0.405348172,1274.507858,0.123,17.99620721,0.416728759,13.08386732
0.049081156,67.26377843,0.409173634,1283.813821,0.124,40.42415789,0.423900652,12.25243574
0.049245257,81.91914016,0.412040357,1293.835627,0.125,58.2361924,0.431450013,11.37142917
0.049299957,74.71102518,0.414910431,1299.562373,0.126,74.11556585,0.439376843,10.49282878
0.049573458,89.4005486,0.418734218,1311.015866,0.127,81.07807322,0.447303672,9.662352036
0.050175162,96.84779535,0.421604292,1316.742612,0.128,81.60894033,0.455230501,8.901310851
0.050185107,104.1956627,0.424474365,1322.469359,0.129,74.82534095,0.463534799,8.18976828
0.050274617,111.9099917,0.427341647,1331.775321,0.13,59.91781602,0.471839096,7.540098976
0.051116007,118.8137571,0.430213396,1335.354538,0.131,43.2432212,0.480143393,6.993551783
0.051214467,126.5001356,0.433082353,1342.512971,0.132,19.8844919,0.488447691,6.50200305
0.051259222,133.4318516,0.43595131,1349.671404,0.133,-4.023592281,0.496676494,6.115638872
0.052100612,140.9505273,0.438345644,1351.10309,0.134,-25.31348733,0.505056285,5.759523846
0.052199072,148.0219955,0.44264908,1361.84074,0.135,-45.7005419,0.513643684,5.464336801
0.05367598,155.5901221,0.44552027,1366.1358,0.136,-59.29611269,0.519022603,5.327270327
