"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.31535160000E+008,  0.31842369427E+001,  0.40503706713E-007,  0.00000000000E+000,  0.22646124817E-009,  0.65382200193E-012,  0.00000000000E+000,  0.00000000000E+000
  0.31535280000E+008,  0.31841198392E+001,  0.40576884001E-007,  0.00000000000E+000,  0.22687004623E-009,  0.65500325894E-012,  0.00000000000E+000,  0.00000000000E+000
  0.31535520000E+008,  0.31838853233E+001,  0.40718344208E-007,  0.00000000000E+000,  0.22766027420E-009,  0.65728676679E-012,  0.00000000000E+000,  0.00000000000E+000
  0.31535700000E+008,  0.31837094087E+001,  0.40823190167E-007,  0.00000000000E+000,  0.22824595793E-009,  0.65897923289E-012,  0.00000000000E+000,  0.00000000000E+000
