"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.31535160000E+008, -0.42813785491E+000,  0.85602840802E-007,  0.00000000000E+000,  0.89419708520E-009,  0.13711276610E-011,  0.00000000000E+000,  0.00000000000E+000
  0.31535280000E+008, -0.42814571439E+000,  0.85608031362E-007,  0.00000000000E+000,  0.89425115066E-009,  0.13712108068E-011,  0.00000000000E+000,  0.00000000000E+000
  0.31535520000E+008, -0.42816146667E+000,  0.85618003334E-007,  0.00000000000E+000,  0.89435500808E-009,  0.13713705448E-011,  0.00000000000E+000,  0.00000000000E+000
  0.31535700000E+008, -0.42817329530E+000,  0.85625288707E-007,  0.00000000000E+000,  0.89443087894E-009,  0.13714872470E-011,  0.00000000000E+000,  0.00000000000E+000
