"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72270005859E+005,  0.21332986416E+001,  0.17778279805E-004,  0.00000000000E+000,  0.18742921195E-006,  0.28481849644E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270017578E+005,  0.21333043394E+001,  0.17778327518E-004,  0.00000000000E+000,  0.18742971477E-006,  0.28481926072E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270029297E+005,  0.21333126809E+001,  0.17778397371E-004,  0.00000000000E+000,  0.18743045090E-006,  0.28482037988E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270052734E+005,  0.21333279499E+001,  0.17778525235E-004,  0.00000000000E+000,  0.18743179838E-006,  0.28482242874E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270099609E+005,  0.21333451094E+001,  0.17778668919E-004,  0.00000000000E+000,  0.18743331260E-006,  0.28482473131E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270193359E+005,  0.21333556549E+001,  0.17778757185E-004,  0.00000000000E+000,  0.18743424286E-006,  0.28482614593E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270380859E+005,  0.21333546307E+001,  0.17778748502E-004,  0.00000000000E+000,  0.18743415156E-006,  0.28482600684E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270755859E+005,  0.21333396423E+001,  0.17778622766E-004,  0.00000000000E+000,  0.18743282693E-006,  0.28482399167E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270767578E+005,  0.21333391632E+001,  0.17778618747E-004,  0.00000000000E+000,  0.18743278459E-006,  0.28482392725E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270791016E+005,  0.21333381727E+001,  0.17778610438E-004,  0.00000000000E+000,  0.18743269705E-006,  0.28482379408E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270837891E+005,  0.21333361091E+001,  0.17778593129E-004,  0.00000000000E+000,  0.18743251470E-006,  0.28482351668E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270931641E+005,  0.21333318067E+001,  0.17778557044E-004,  0.00000000000E+000,  0.18743213453E-006,  0.28482293833E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270943359E+005,  0.21333312664E+001,  0.17778552513E-004,  0.00000000000E+000,  0.18743208679E-006,  0.28482286571E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270966797E+005,  0.21333301775E+001,  0.17778543380E-004,  0.00000000000E+000,  0.18743199057E-006,  0.28482271933E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271013672E+005,  0.21333279739E+001,  0.17778524899E-004,  0.00000000000E+000,  0.18743179587E-006,  0.28482242313E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271107422E+005,  0.21333234978E+001,  0.17778487359E-004,  0.00000000000E+000,  0.18743140036E-006,  0.28482182146E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271201172E+005,  0.21333189727E+001,  0.17778449409E-004,  0.00000000000E+000,  0.18743100054E-006,  0.28482121323E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271388672E+005,  0.21333098162E+001,  0.17778372619E-004,  0.00000000000E+000,  0.18743019151E-006,  0.28481998248E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271394531E+005,  0.21333095300E+001,  0.17778370219E-004,  0.00000000000E+000,  0.18743016622E-006,  0.28481994400E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271406250E+005,  0.21333089571E+001,  0.17778365414E-004,  0.00000000000E+000,  0.18743011560E-006,  0.28481986700E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271429688E+005,  0.21333078100E+001,  0.17778355794E-004,  0.00000000000E+000,  0.18743001425E-006,  0.28481971281E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271476562E+005,  0.21333055113E+001,  0.17778336516E-004,  0.00000000000E+000,  0.18742981114E-006,  0.28481940384E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271570312E+005,  0.21333009025E+001,  0.17778297865E-004,  0.00000000000E+000,  0.18742940393E-006,  0.28481878436E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271757812E+005,  0.21332916745E+001,  0.17778220476E-004,  0.00000000000E+000,  0.18742858859E-006,  0.28481754401E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271763672E+005,  0.21332913861E+001,  0.17778218058E-004,  0.00000000000E+000,  0.18742856311E-006,  0.28481750525E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271775391E+005,  0.21332908093E+001,  0.17778213221E-004,  0.00000000000E+000,  0.18742851215E-006,  0.28481742772E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271798828E+005,  0.21332896557E+001,  0.17778203546E-004,  0.00000000000E+000,  0.18742841022E-006,  0.28481727266E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271845703E+005,  0.21332873486E+001,  0.17778184198E-004,  0.00000000000E+000,  0.18742820638E-006,  0.28481696257E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271939453E+005,  0.21332827380E+001,  0.17778145532E-004,  0.00000000000E+000,  0.18742779901E-006,  0.28481634285E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272126953E+005,  0.21332735423E+001,  0.17778068414E-004,  0.00000000000E+000,  0.18742698652E-006,  0.28481510684E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272132812E+005,  0.21332732550E+001,  0.17778066004E-004,  0.00000000000E+000,  0.18742696113E-006,  0.28481506821E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272144531E+005,  0.21332726804E+001,  0.17778061185E-004,  0.00000000000E+000,  0.18742691037E-006,  0.28481499098E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272167969E+005,  0.21332715317E+001,  0.17778051552E-004,  0.00000000000E+000,  0.18742680887E-006,  0.28481483658E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272214844E+005,  0.21332692361E+001,  0.17778032300E-004,  0.00000000000E+000,  0.18742660604E-006,  0.28481452803E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272308594E+005,  0.21332646529E+001,  0.17777993863E-004,  0.00000000000E+000,  0.18742620109E-006,  0.28481391198E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272496094E+005,  0.21332555188E+001,  0.17777917261E-004,  0.00000000000E+000,  0.18742539404E-006,  0.28481268424E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272871094E+005,  0.21332373586E+001,  0.17777764960E-004,  0.00000000000E+000,  0.18742378946E-006,  0.28481024324E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273246094E+005,  0.21332192784E+001,  0.17777613329E-004,  0.00000000000E+000,  0.18742219195E-006,  0.28480781299E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273257812E+005,  0.21332187135E+001,  0.17777608591E-004,  0.00000000000E+000,  0.18742214204E-006,  0.28480773706E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273281250E+005,  0.21332175839E+001,  0.17777599118E-004,  0.00000000000E+000,  0.18742204223E-006,  0.28480758523E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273328125E+005,  0.21332153260E+001,  0.17777580182E-004,  0.00000000000E+000,  0.18742184272E-006,  0.28480728172E-009,  0.00000000000E+000,  0.00000000000E+000
