"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72270005859E+005,  0.12987871289E-003,  0.15490731108E-010,  0.00000000000E+000,  0.16288814404E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270017578E+005,  0.12987872064E-003,  0.15490730644E-010,  0.00000000000E+000,  0.16288813918E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270029297E+005,  0.12987872841E-003,  0.15490730180E-010,  0.00000000000E+000,  0.16288813433E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270052734E+005,  0.12987874395E-003,  0.15490729251E-010,  0.00000000000E+000,  0.16288812462E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270099609E+005,  0.12987877503E-003,  0.15490727394E-010,  0.00000000000E+000,  0.16288810520E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270193359E+005,  0.12987883720E-003,  0.15490723679E-010,  0.00000000000E+000,  0.16288806636E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270380859E+005,  0.12987896150E-003,  0.15490716250E-010,  0.00000000000E+000,  0.16288798868E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270755859E+005,  0.12987921012E-003,  0.15490701393E-010,  0.00000000000E+000,  0.16288783333E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270767578E+005,  0.12987921789E-003,  0.15490700928E-010,  0.00000000000E+000,  0.16288782848E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270791016E+005,  0.12987923344E-003,  0.15490700000E-010,  0.00000000000E+000,  0.16288781877E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270837891E+005,  0.12987926453E-003,  0.15490698143E-010,  0.00000000000E+000,  0.16288779935E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270931641E+005,  0.12987932669E-003,  0.15490694428E-010,  0.00000000000E+000,  0.16288776051E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270943359E+005,  0.12987933446E-003,  0.15490693964E-010,  0.00000000000E+000,  0.16288775566E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72270966797E+005,  0.12987935001E-003,  0.15490693036E-010,  0.00000000000E+000,  0.16288774595E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
  0.72271013672E+005,  0.12987938108E-003,  0.15490691178E-010,  0.00000000000E+000,  0.16288772653E-012,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
