"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.31535160000E+008,  0.88102037104E-001,  0.94926498422E-009,  0.00000000000E+000,  0.52816972213E-011,  0.15323878267E-013,  0.00000000000E+000,  0.00000000000E+000
  0.31535280000E+008,  0.88098799864E-001,  0.95187328382E-009,  0.00000000000E+000,  0.52962025955E-011,  0.15365983945E-013,  0.00000000000E+000,  0.00000000000E+000
  0.31535520000E+008,  0.88092285075E-001,  0.95664089913E-009,  0.00000000000E+000,  0.53227151034E-011,  0.15442947407E-013,  0.00000000000E+000,  0.00000000000E+000
  0.31535700000E+008,  0.88087378543E-001,  0.95998811059E-009,  0.00000000000E+000,  0.53413280309E-011,  0.15496981354E-013,  0.00000000000E+000,  0.00000000000E+000
