"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72272132812E+005,  0.36281311889E+001,  0.30260667266E-004,  0.00000000000E+000,  0.31897839711E-006,  0.48479496949E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272144531E+005,  0.36281302145E+001,  0.30260659096E-004,  0.00000000000E+000,  0.31897831105E-006,  0.48479483855E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272167969E+005,  0.36281282662E+001,  0.30260642762E-004,  0.00000000000E+000,  0.31897813897E-006,  0.48479457675E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272214844E+005,  0.36281243725E+001,  0.30260610115E-004,  0.00000000000E+000,  0.31897779505E-006,  0.48479405351E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272308594E+005,  0.36281165967E+001,  0.30260544921E-004,  0.00000000000E+000,  0.31897710826E-006,  0.48479300860E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272496094E+005,  0.36281010935E+001,  0.30260414936E-004,  0.00000000000E+000,  0.31897573892E-006,  0.48479092527E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72272871094E+005,  0.36280702493E+001,  0.30260156325E-004,  0.00000000000E+000,  0.31897301457E-006,  0.48478678039E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273246094E+005,  0.36280395244E+001,  0.30259898715E-004,  0.00000000000E+000,  0.31897030076E-006,  0.48478265154E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273257812E+005,  0.36280385644E+001,  0.30259890665E-004,  0.00000000000E+000,  0.31897021596E-006,  0.48478252253E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273281250E+005,  0.36280366448E+001,  0.30259874570E-004,  0.00000000000E+000,  0.31897004641E-006,  0.48478226457E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273328125E+005,  0.36280328072E+001,  0.30259842395E-004,  0.00000000000E+000,  0.31896970745E-006,  0.48478174888E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273421875E+005,  0.36280251384E+001,  0.30259778096E-004,  0.00000000000E+000,  0.31896903009E-006,  0.48478071832E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273609375E+005,  0.36280098199E+001,  0.30259649659E-004,  0.00000000000E+000,  0.31896767706E-006,  0.48477865980E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273984375E+005,  0.36279792260E+001,  0.30259393144E-004,  0.00000000000E+000,  0.31896497480E-006,  0.48477454851E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72273996094E+005,  0.36279782700E+001,  0.30259385129E-004,  0.00000000000E+000,  0.31896489036E-006,  0.48477442004E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72274019531E+005,  0.36279763581E+001,  0.30259369098E-004,  0.00000000000E+000,  0.31896472149E-006,  0.48477416312E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72274066406E+005,  0.36279725349E+001,  0.30259337043E-004,  0.00000000000E+000,  0.31896438379E-006,  0.48477364935E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72274160156E+005,  0.36279648902E+001,  0.30259272946E-004,  0.00000000000E+000,  0.31896370857E-006,  0.48477262204E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72274347656E+005,  0.36279496045E+001,  0.30259144784E-004,  0.00000000000E+000,  0.31896235843E-006,  0.48477056792E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72274722656E+005,  0.36279190286E+001,  0.30258888420E-004,  0.00000000000E+000,  0.31895965776E-006,  0.48476645906E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72274734375E+005,  0.36279180731E+001,  0.30258880409E-004,  0.00000000000E+000,  0.31895957337E-006,  0.48476633066E-009,  0.00000000000E+000,  0.00000000000E+000
