"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72270005859E+005,  0.58458562970E-001,  0.48614665217E-006,  0.00000000000E+000,  0.51272154441E-008,  0.78107200686E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270017578E+005,  0.58458574969E-001,  0.48614675257E-006,  0.00000000000E+000,  0.51272165027E-008,  0.78107216810E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270029297E+005,  0.58458523671E-001,  0.48614632294E-006,  0.00000000000E+000,  0.51272119735E-008,  0.78107147774E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270052734E+005,  0.58458383964E-001,  0.48614515291E-006,  0.00000000000E+000,  0.51271996391E-008,  0.78106959775E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270099609E+005,  0.58458195887E-001,  0.48614357769E-006,  0.00000000000E+000,  0.51271830333E-008,  0.78106706659E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270193359E+005,  0.58458097473E-001,  0.48614275300E-006,  0.00000000000E+000,  0.51271743404E-008,  0.78106574098E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270380859E+005,  0.58458044999E-001,  0.48614231243E-006,  0.00000000000E+000,  0.51271696980E-008,  0.78106503189E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270755859E+005,  0.58457722974E-001,  0.48613961350E-006,  0.00000000000E+000,  0.51271412498E-008,  0.78106069315E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270767578E+005,  0.58457712680E-001,  0.48613952724E-006,  0.00000000000E+000,  0.51271403405E-008,  0.78106055447E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270791016E+005,  0.58457691114E-001,  0.48613934650E-006,  0.00000000000E+000,  0.51271384354E-008,  0.78106026393E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270837891E+005,  0.58457644245E-001,  0.48613895373E-006,  0.00000000000E+000,  0.51271342953E-008,  0.78105963258E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270931641E+005,  0.58457539375E-001,  0.48613807498E-006,  0.00000000000E+000,  0.51271250324E-008,  0.78105822010E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270943359E+005,  0.58457526100E-001,  0.48613796375E-006,  0.00000000000E+000,  0.51271238599E-008,  0.78105804131E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72270966797E+005,  0.58457498948E-001,  0.48613773624E-006,  0.00000000000E+000,  0.51271214617E-008,  0.78105767562E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72271013672E+005,  0.58457442693E-001,  0.48613726488E-006,  0.00000000000E+000,  0.51271164931E-008,  0.78105691800E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72271107422E+005,  0.58457324959E-001,  0.48613627841E-006,  0.00000000000E+000,  0.51271060946E-008,  0.78105533246E-011,  0.00000000000E+000,  0.00000000000E+000
  0.72271201172E+005,  0.58457203754E-001,  0.48613526287E-006,  0.00000000000E+000,  0.51270953897E-008,  0.78105370021E-011,  0.00000000000E+000,  0.00000000000E+000
