"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72270005859E+005,  0.47367558311E+001,  0.39519468027E-004,  0.00000000000E+000,  0.41655226770E-006,  0.63312755633E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270017578E+005,  0.47366529335E+001,  0.39518606194E-004,  0.00000000000E+000,  0.41654318742E-006,  0.63311375565E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270029297E+005,  0.47365961795E+001,  0.39518130839E-004,  0.00000000000E+000,  0.41653817909E-006,  0.63310614341E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270052734E+005,  0.47365458482E+001,  0.39517709270E-004,  0.00000000000E+000,  0.41653373746E-006,  0.63309939199E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270099609E+005,  0.47365058499E+001,  0.39517374232E-004,  0.00000000000E+000,  0.41653020755E-006,  0.63309402554E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270193359E+005,  0.47364719890E+001,  0.39517090565E-004,  0.00000000000E+000,  0.41652721895E-006,  0.63308948087E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270380859E+005,  0.47364381413E+001,  0.39516806947E-004,  0.00000000000E+000,  0.41652423098E-006,  0.63308493598E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270755859E+005,  0.47363929156E+001,  0.39516427909E-004,  0.00000000000E+000,  0.41652023790E-006,  0.63307886118E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270767578E+005,  0.47363915214E+001,  0.39516416224E-004,  0.00000000000E+000,  0.41652011481E-006,  0.63307867392E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270791016E+005,  0.47363887940E+001,  0.39516393365E-004,  0.00000000000E+000,  0.41651987399E-006,  0.63307830755E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270837891E+005,  0.47363835013E+001,  0.39516349005E-004,  0.00000000000E+000,  0.41651940666E-006,  0.63307759658E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270931641E+005,  0.47363732345E+001,  0.39516262952E-004,  0.00000000000E+000,  0.41651850013E-006,  0.63307621739E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270943359E+005,  0.47363719555E+001,  0.39516252233E-004,  0.00000000000E+000,  0.41651838721E-006,  0.63307604558E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270966797E+005,  0.47363694114E+001,  0.39516230909E-004,  0.00000000000E+000,  0.41651816257E-006,  0.63307570382E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271013672E+005,  0.47363643569E+001,  0.39516188543E-004,  0.00000000000E+000,  0.41651771626E-006,  0.63307502480E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271107422E+005,  0.47363542916E+001,  0.39516104179E-004,  0.00000000000E+000,  0.41651682752E-006,  0.63307367265E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271201172E+005,  0.47363442243E+001,  0.39516019798E-004,  0.00000000000E+000,  0.41651593859E-006,  0.63307232023E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271388672E+005,  0.47363239993E+001,  0.39515850278E-004,  0.00000000000E+000,  0.41651415276E-006,  0.63306960325E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271394531E+005,  0.47363233671E+001,  0.39515844980E-004,  0.00000000000E+000,  0.41651409695E-006,  0.63306951833E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72271406250E+005,  0.47363221025E+001,  0.39515834380E-004,  0.00000000000E+000,  0.41651398528E-006,  0.63306934844E-009,  0.00000000000E+000,  0.00000000000E+000
