"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.13080000000E+004  0.23603499328E+000  0.69931067140E-006  0.00000000000E+000  0.73734681156E-008  0.11199768335E-010  0.00000000000E+000  0.00000000000E+000
  0.13320000000E+004  0.23635312143E+000  0.70199285588E-006  0.00000000000E+000  0.74017462810E-008  0.11242720627E-010  0.00000000000E+000  0.00000000000E+000
  0.13560000000E+004  0.23650643769E+000  0.70329519530E-006  0.00000000000E+000  0.74154767467E-008  0.11263572632E-010  0.00000000000E+000  0.00000000000E+000
  0.13800000000E+004  0.23656012102E+000  0.70376338210E-006  0.00000000000E+000  0.74204127529E-008  0.11271065012E-010  0.00000000000E+000  0.00000000000E+000
  0.14040000000E+004  0.23657027844E+000  0.70386715706E-006  0.00000000000E+000  0.74215067714E-008  0.11272721733E-010  0.00000000000E+000  0.00000000000E+000
  0.14280000000E+004  0.23658149719E+000  0.70397981465E-006  0.00000000000E+000  0.74226944392E-008  0.11274521846E-010  0.00000000000E+000  0.00000000000E+000
  0.14520000000E+004  0.23662678398E+000  0.70437769416E-006  0.00000000000E+000  0.74268891960E-008  0.11280891389E-010  0.00000000000E+000  0.00000000000E+000
  0.14640000000E+004  0.23666137218E+000  0.70467663784E-006  0.00000000000E+000  0.74300409135E-008  0.11285678167E-010  0.00000000000E+000  0.00000000000E+000
  0.14760000000E+004  0.23671067972E+000  0.70509881433E-006  0.00000000000E+000  0.74344918715E-008  0.11292438993E-010  0.00000000000E+000  0.00000000000E+000
  0.14880000000E+004  0.23677688405E+000  0.70566245361E-006  0.00000000000E+000  0.74404342679E-008  0.11301465839E-010  0.00000000000E+000  0.00000000000E+000
  0.15000000000E+004  0.23686162725E+000  0.70638130397E-006  0.00000000000E+000  0.74480130498E-008  0.11312978895E-010  0.00000000000E+000  0.00000000000E+000
  0.15120000000E+004  0.23696607931E+000  0.70726516044E-006  0.00000000000E+000  0.74573314850E-008  0.11327135031E-010  0.00000000000E+000  0.00000000000E+000
  0.15360000000E+004  0.23725747296E+000  0.70972349157E-006  0.00000000000E+000  0.74832495133E-008  0.11366509522E-010  0.00000000000E+000  0.00000000000E+000
  0.15600000000E+004  0.23763090229E+000  0.71286864138E-006  0.00000000000E+000  0.75164086256E-008  0.11416885280E-010  0.00000000000E+000  0.00000000000E+000
  0.15840000000E+004  0.23808312521E+000  0.71667346654E-006  0.00000000000E+000  0.75565226340E-008  0.11477827478E-010  0.00000000000E+000  0.00000000000E+000
  0.16080000000E+004  0.23860915998E+000  0.72109625894E-006  0.00000000000E+000  0.76031517927E-008  0.11548668024E-010  0.00000000000E+000  0.00000000000E+000
  0.16560000000E+004  0.23990890197E+000  0.73201540616E-006  0.00000000000E+000  0.77182713335E-008  0.11723562429E-010  0.00000000000E+000  0.00000000000E+000
  0.17040000000E+004  0.24141243146E+000  0.74464070468E-006  0.00000000000E+000  0.78513782977E-008  0.11925785382E-010  0.00000000000E+000  0.00000000000E+000
  0.17520000000E+004  0.24308493520E+000  0.75868069261E-006  0.00000000000E+000  0.79993996804E-008  0.12150668611E-010  0.00000000000E+000  0.00000000000E+000
  0.18000000000E+004  0.24490187917E+000  0.77392996827E-006  0.00000000000E+000  0.81601698164E-008  0.12394922334E-010  0.00000000000E+000  0.00000000000E+000
