"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72272132812E+005,  0.95660344634E-001,  0.79550839569E-006,  0.00000000000E+000,  0.83899654747E-008,  0.12744445158E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72272144531E+005,  0.95660318781E-001,  0.79550817908E-006,  0.00000000000E+000,  0.83899631915E-008,  0.12744441686E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72272167969E+005,  0.95660267097E-001,  0.79550774605E-006,  0.00000000000E+000,  0.83899586268E-008,  0.12744434746E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72272214844E+005,  0.95660163820E-001,  0.79550688075E-006,  0.00000000000E+000,  0.83899495055E-008,  0.12744420878E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72272308594E+005,  0.95659957669E-001,  0.79550515353E-006,  0.00000000000E+000,  0.83899312985E-008,  0.12744393195E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72272496094E+005,  0.95659547012E-001,  0.79550171287E-006,  0.00000000000E+000,  0.83898950298E-008,  0.12744338050E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72272871094E+005,  0.95658731234E-001,  0.79549487789E-006,  0.00000000000E+000,  0.83898229808E-008,  0.12744228504E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72273246094E+005,  0.95657919614E-001,  0.79548807774E-006,  0.00000000000E+000,  0.83897512991E-008,  0.12744119516E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72273257812E+005,  0.95657894255E-001,  0.79548786527E-006,  0.00000000000E+000,  0.83897490594E-008,  0.12744116110E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72273281250E+005,  0.95657843553E-001,  0.79548744046E-006,  0.00000000000E+000,  0.83897445814E-008,  0.12744109302E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72273328125E+005,  0.95657742208E-001,  0.79548659134E-006,  0.00000000000E+000,  0.83897356307E-008,  0.12744095693E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72273421875E+005,  0.95657539737E-001,  0.79548489494E-006,  0.00000000000E+000,  0.83897177486E-008,  0.12744068504E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72273609375E+005,  0.95657135503E-001,  0.79548150806E-006,  0.00000000000E+000,  0.83896820469E-008,  0.12744014221E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72273984375E+005,  0.95656328789E-001,  0.79547474898E-006,  0.00000000000E+000,  0.83896107981E-008,  0.12743905892E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72273996094E+005,  0.95656303581E-001,  0.79547453777E-006,  0.00000000000E+000,  0.83896085718E-008,  0.12743902506E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72274019531E+005,  0.95656253171E-001,  0.79547411541E-006,  0.00000000000E+000,  0.83896041196E-008,  0.12743895737E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72274066406E+005,  0.95656152375E-001,  0.79547327089E-006,  0.00000000000E+000,  0.83895952173E-008,  0.12743882202E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72274160156E+005,  0.95655950864E-001,  0.79547158253E-006,  0.00000000000E+000,  0.83895774199E-008,  0.12743855142E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72274347656E+005,  0.95655548060E-001,  0.79546820762E-006,  0.00000000000E+000,  0.83895418444E-008,  0.12743801051E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72274722656E+005,  0.95654742718E-001,  0.79546146003E-006,  0.00000000000E+000,  0.83894707168E-008,  0.12743692905E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72274734375E+005,  0.95654717551E-001,  0.79546124917E-006,  0.00000000000E+000,  0.83894684941E-008,  0.12743689526E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72274757812E+005,  0.95654667218E-001,  0.79546082746E-006,  0.00000000000E+000,  0.83894640487E-008,  0.12743682767E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72274804688E+005,  0.95654566555E-001,  0.79545998405E-006,  0.00000000000E+000,  0.83894551582E-008,  0.12743669249E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72274898438E+005,  0.95654365230E-001,  0.79545829724E-006,  0.00000000000E+000,  0.83894373772E-008,  0.12743642214E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72275085938E+005,  0.95653962528E-001,  0.79545492319E-006,  0.00000000000E+000,  0.83894018107E-008,  0.12743588137E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72275460938E+005,  0.95653156621E-001,  0.79544817087E-006,  0.00000000000E+000,  0.83893306332E-008,  0.12743479916E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72275472656E+005,  0.95653131436E-001,  0.79544795985E-006,  0.00000000000E+000,  0.83893284089E-008,  0.12743476534E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72275496094E+005,  0.95653081063E-001,  0.79544753781E-006,  0.00000000000E+000,  0.83893239600E-008,  0.12743469769E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72275542969E+005,  0.95652980310E-001,  0.79544669364E-006,  0.00000000000E+000,  0.83893150615E-008,  0.12743456240E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72275636719E+005,  0.95652778764E-001,  0.79544500498E-006,  0.00000000000E+000,  0.83892972610E-008,  0.12743429175E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72275824219E+005,  0.95652375490E-001,  0.79544162614E-006,  0.00000000000E+000,  0.83892616440E-008,  0.12743375021E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72276199219E+005,  0.95651568092E-001,  0.79543486133E-006,  0.00000000000E+000,  0.83891903348E-008,  0.12743266599E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72276949219E+005,  0.95649949571E-001,  0.79542130053E-006,  0.00000000000E+000,  0.83890473878E-008,  0.12743049256E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72277699219E+005,  0.95648327374E-001,  0.79540770894E-006,  0.00000000000E+000,  0.83889041162E-008,  0.12742831419E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72277705078E+005,  0.95648314700E-001,  0.79540760275E-006,  0.00000000000E+000,  0.83889029969E-008,  0.12742829718E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72277716797E+005,  0.95648289352E-001,  0.79540739037E-006,  0.00000000000E+000,  0.83889007581E-008,  0.12742826314E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72277740234E+005,  0.95648238652E-001,  0.79540696558E-006,  0.00000000000E+000,  0.83888962803E-008,  0.12742819505E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72277787109E+005,  0.95648137238E-001,  0.79540611588E-006,  0.00000000000E+000,  0.83888873235E-008,  0.12742805887E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72277880859E+005,  0.95647934352E-001,  0.79540441600E-006,  0.00000000000E+000,  0.83888694047E-008,  0.12742778643E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72278068359E+005,  0.95647528355E-001,  0.79540101436E-006,  0.00000000000E+000,  0.83888335474E-008,  0.12742724123E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72278443359E+005,  0.95646715497E-001,  0.79539420383E-006,  0.00000000000E+000,  0.83887617561E-008,  0.12742614969E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72279193359E+005,  0.95645086657E-001,  0.79538055661E-006,  0.00000000000E+000,  0.83886178981E-008,  0.12742396241E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72279199219E+005,  0.95645073932E-001,  0.79538044999E-006,  0.00000000000E+000,  0.83886167742E-008,  0.12742394532E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72279210938E+005,  0.95645048480E-001,  0.79538023675E-006,  0.00000000000E+000,  0.83886145264E-008,  0.12742391114E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72279234375E+005,  0.95644997573E-001,  0.79537981023E-006,  0.00000000000E+000,  0.83886100303E-008,  0.12742384278E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72279281250E+005,  0.95644895748E-001,  0.79537895708E-006,  0.00000000000E+000,  0.83886010372E-008,  0.12742370604E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72279375000E+005,  0.95644692050E-001,  0.79537725040E-006,  0.00000000000E+000,  0.83885830467E-008,  0.12742343251E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72279562500E+005,  0.95644284472E-001,  0.79537383551E-006,  0.00000000000E+000,  0.83885470497E-008,  0.12742288519E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72279937500E+005,  0.95643468624E-001,  0.79536699995E-006,  0.00000000000E+000,  0.83884749946E-008,  0.12742178964E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72280687500E+005,  0.95641834524E-001,  0.79535330868E-006,  0.00000000000E+000,  0.83883306722E-008,  0.12741959529E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72280693359E+005,  0.95641821758E-001,  0.79535320172E-006,  0.00000000000E+000,  0.83883295446E-008,  0.12741957815E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72280705078E+005,  0.95641796224E-001,  0.79535298778E-006,  0.00000000000E+000,  0.83883272895E-008,  0.12741954386E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72280728516E+005,  0.95641745154E-001,  0.79535255990E-006,  0.00000000000E+000,  0.83883227791E-008,  0.12741947528E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72280775391E+005,  0.95641643006E-001,  0.79535170405E-006,  0.00000000000E+000,  0.83883137574E-008,  0.12741933811E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72280869141E+005,  0.95641438672E-001,  0.79534999204E-006,  0.00000000000E+000,  0.83882957108E-008,  0.12741906372E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72281056641E+005,  0.95641029865E-001,  0.79534656687E-006,  0.00000000000E+000,  0.83882596054E-008,  0.12741851476E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72281431641E+005,  0.95640211733E-001,  0.79533971217E-006,  0.00000000000E+000,  0.83881873486E-008,  0.12741741614E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72282181641E+005,  0.95638573678E-001,  0.79532598778E-006,  0.00000000000E+000,  0.83880426770E-008,  0.12741521649E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72282187500E+005,  0.95638560881E-001,  0.79532588056E-006,  0.00000000000E+000,  0.83880415467E-008,  0.12741519930E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72282199219E+005,  0.95638535285E-001,  0.79532566611E-006,  0.00000000000E+000,  0.83880392862E-008,  0.12741516493E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72282222656E+005,  0.95638484093E-001,  0.79532523720E-006,  0.00000000000E+000,  0.83880347649E-008,  0.12741509619E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72282269531E+005,  0.95638381702E-001,  0.79532437931E-006,  0.00000000000E+000,  0.83880257218E-008,  0.12741495869E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72282363281E+005,  0.95638176892E-001,  0.79532266332E-006,  0.00000000000E+000,  0.83880076332E-008,  0.12741468366E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72282550781E+005,  0.95637767169E-001,  0.79531923047E-006,  0.00000000000E+000,  0.83879714468E-008,  0.12741413347E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72282925781E+005,  0.95636947339E-001,  0.79531236155E-006,  0.00000000000E+000,  0.83878990401E-008,  0.12741303257E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72283675781E+005,  0.95635306352E-001,  0.79529861262E-006,  0.00000000000E+000,  0.83877541097E-008,  0.12741082898E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72283681641E+005,  0.95635293532E-001,  0.79529850520E-006,  0.00000000000E+000,  0.83877529774E-008,  0.12741081177E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72283693359E+005,  0.95635267891E-001,  0.79529829037E-006,  0.00000000000E+000,  0.83877507128E-008,  0.12741077733E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72283716797E+005,  0.95635216608E-001,  0.79529786070E-006,  0.00000000000E+000,  0.83877461836E-008,  0.12741070847E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72283763672E+005,  0.95635114037E-001,  0.79529700131E-006,  0.00000000000E+000,  0.83877371246E-008,  0.12741057073E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72283857422E+005,  0.95634908875E-001,  0.79529528237E-006,  0.00000000000E+000,  0.83877190048E-008,  0.12741029523E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72284044922E+005,  0.95634498473E-001,  0.79529184383E-006,  0.00000000000E+000,  0.83876827585E-008,  0.12740974413E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72284419922E+005,  0.95633677385E-001,  0.79528496438E-006,  0.00000000000E+000,  0.83876102408E-008,  0.12740864154E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72285169922E+005,  0.95632034221E-001,  0.79527119720E-006,  0.00000000000E+000,  0.83874651181E-008,  0.12740643503E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72286669922E+005,  0.95628744819E-001,  0.79524363710E-006,  0.00000000000E+000,  0.83871746013E-008,  0.12740201788E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72288169922E+005,  0.95625452996E-001,  0.79521605672E-006,  0.00000000000E+000,  0.83868838707E-008,  0.12739759749E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72288181641E+005,  0.95625427278E-001,  0.79521584125E-006,  0.00000000000E+000,  0.83868815993E-008,  0.12739756295E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72288205078E+005,  0.95625375842E-001,  0.79521541030E-006,  0.00000000000E+000,  0.83868770566E-008,  0.12739749388E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72288251953E+005,  0.95625272969E-001,  0.79521454838E-006,  0.00000000000E+000,  0.83868679709E-008,  0.12739735574E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72288345703E+005,  0.95625067212E-001,  0.79521282446E-006,  0.00000000000E+000,  0.83868497987E-008,  0.12739707944E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72288533203E+005,  0.95624655664E-001,  0.79520937632E-006,  0.00000000000E+000,  0.83868134512E-008,  0.12739652680E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72288908203E+005,  0.95623832435E-001,  0.79520247893E-006,  0.00000000000E+000,  0.83867407443E-008,  0.12739542133E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72289658203E+005,  0.95622185500E-001,  0.79518868017E-006,  0.00000000000E+000,  0.83865952887E-008,  0.12739320976E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72291158203E+005,  0.95618890081E-001,  0.79516106966E-006,  0.00000000000E+000,  0.83863042405E-008,  0.12738878454E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72291169922E+005,  0.95618864335E-001,  0.79516085396E-006,  0.00000000000E+000,  0.83863019667E-008,  0.12738874997E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72291193359E+005,  0.95618812844E-001,  0.79516042254E-006,  0.00000000000E+000,  0.83862974190E-008,  0.12738868082E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72291240234E+005,  0.95618709859E-001,  0.79515955969E-006,  0.00000000000E+000,  0.83862883235E-008,  0.12738854253E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72291333984E+005,  0.95618503884E-001,  0.79515783394E-006,  0.00000000000E+000,  0.83862701320E-008,  0.12738826594E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72291521484E+005,  0.95618091912E-001,  0.79515438225E-006,  0.00000000000E+000,  0.83862337470E-008,  0.12738771273E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72291896484E+005,  0.95617267879E-001,  0.79514747813E-006,  0.00000000000E+000,  0.83861609693E-008,  0.12738660618E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72292646484E+005,  0.95615619500E-001,  0.79513366727E-006,  0.00000000000E+000,  0.83860153860E-008,  0.12738439267E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72294146484E+005,  0.95612321680E-001,  0.79510603666E-006,  0.00000000000E+000,  0.83857241259E-008,  0.12737996423E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72294158203E+005,  0.95612295916E-001,  0.79510582079E-006,  0.00000000000E+000,  0.83857218504E-008,  0.12737992963E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72294181641E+005,  0.95612244387E-001,  0.79510538906E-006,  0.00000000000E+000,  0.83857172994E-008,  0.12737986044E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72294228516E+005,  0.95612141329E-001,  0.79510452559E-006,  0.00000000000E+000,  0.83857081974E-008,  0.12737972205E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72294322266E+005,  0.95611935207E-001,  0.79510279861E-006,  0.00000000000E+000,  0.83856899929E-008,  0.12737944526E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72294509766E+005,  0.95611522949E-001,  0.79509934453E-006,  0.00000000000E+000,  0.83856535827E-008,  0.12737889166E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72294884766E+005,  0.95610698372E-001,  0.79509243585E-006,  0.00000000000E+000,  0.83855807568E-008,  0.12737778439E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72295634766E+005,  0.95609048994E-001,  0.79507861662E-006,  0.00000000000E+000,  0.83854350854E-008,  0.12737556954E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72297134766E+005,  0.95605749475E-001,  0.79505097176E-006,  0.00000000000E+000,  0.83851436751E-008,  0.12737113881E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72297146484E+005,  0.95605723697E-001,  0.79505075579E-006,  0.00000000000E+000,  0.83851413985E-008,  0.12737110419E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72297169922E+005,  0.95605672142E-001,  0.79505032384E-006,  0.00000000000E+000,  0.83851368451E-008,  0.12737103496E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72297216797E+005,  0.95605569031E-001,  0.79504945992E-006,  0.00000000000E+000,  0.83851277385E-008,  0.12737089650E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72297310547E+005,  0.95605362805E-001,  0.79504773207E-006,  0.00000000000E+000,  0.83851095248E-008,  0.12737061957E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72297498047E+005,  0.95604950343E-001,  0.79504427628E-006,  0.00000000000E+000,  0.83850730966E-008,  0.12737006570E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72297873047E+005,  0.95604125374E-001,  0.79503736432E-006,  0.00000000000E+000,  0.83850002361E-008,  0.12736895790E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72298623047E+005,  0.95602475271E-001,  0.79502353902E-006,  0.00000000000E+000,  0.83848545006E-008,  0.12736674208E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72300123047E+005,  0.95599174491E-001,  0.79499588360E-006,  0.00000000000E+000,  0.83845629789E-008,  0.12736230966E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72300134766E+005,  0.95599148704E-001,  0.79499566754E-006,  0.00000000000E+000,  0.83845607014E-008,  0.12736227503E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72300158203E+005,  0.95599097129E-001,  0.79499523542E-006,  0.00000000000E+000,  0.83845561464E-008,  0.12736220577E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72300205078E+005,  0.95598993978E-001,  0.79499437118E-006,  0.00000000000E+000,  0.83845470362E-008,  0.12736206726E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72300298828E+005,  0.95598787675E-001,  0.79499264268E-006,  0.00000000000E+000,  0.83845288158E-008,  0.12736179023E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72300486328E+005,  0.95598375061E-001,  0.79498918561E-006,  0.00000000000E+000,  0.83844923741E-008,  0.12736123615E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72300861328E+005,  0.95597549799E-001,  0.79498227119E-006,  0.00000000000E+000,  0.83844194877E-008,  0.12736012795E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72301611328E+005,  0.95595899148E-001,  0.79496844130E-006,  0.00000000000E+000,  0.83842737038E-008,  0.12735791139E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72303111328E+005,  0.95592597401E-001,  0.79494077778E-006,  0.00000000000E+000,  0.83839820967E-008,  0.12735347768E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72303123047E+005,  0.95592571606E-001,  0.79494056166E-006,  0.00000000000E+000,  0.83839798185E-008,  0.12735344304E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72303146484E+005,  0.95592520017E-001,  0.79494012941E-006,  0.00000000000E+000,  0.83839752621E-008,  0.12735337376E-010,  0.00000000000E+000,  0.00000000000E+000
