"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72270005859E+005,  0.12283685535E+000,  0.10215133394E-005,  0.00000000000E+000,  0.10773554390E-007,  0.16365158301E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270017578E+005,  0.12283676448E+000,  0.10215125783E-005,  0.00000000000E+000,  0.10773546367E-007,  0.16365146105E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270029297E+005,  0.12283663047E+000,  0.10215114560E-005,  0.00000000000E+000,  0.10773534535E-007,  0.16365128118E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270052734E+005,  0.12283632735E+000,  0.10215089173E-005,  0.00000000000E+000,  0.10773507772E-007,  0.16365087429E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270099609E+005,  0.12283594219E+000,  0.10215056914E-005,  0.00000000000E+000,  0.10773473765E-007,  0.16365035726E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270193359E+005,  0.12283575320E+000,  0.10215041074E-005,  0.00000000000E+000,  0.10773457070E-007,  0.16365010339E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270380859E+005,  0.12283565003E+000,  0.10215032407E-005,  0.00000000000E+000,  0.10773447938E-007,  0.16364996448E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270755859E+005,  0.12283497224E+000,  0.10214975594E-005,  0.00000000000E+000,  0.10773388055E-007,  0.16364905393E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270767578E+005,  0.12283495056E+000,  0.10214973778E-005,  0.00000000000E+000,  0.10773386140E-007,  0.16364902481E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270791016E+005,  0.12283490512E+000,  0.10214969969E-005,  0.00000000000E+000,  0.10773382126E-007,  0.16364896377E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270837891E+005,  0.12283480637E+000,  0.10214961693E-005,  0.00000000000E+000,  0.10773373402E-007,  0.16364883112E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270931641E+005,  0.12283458558E+000,  0.10214943190E-005,  0.00000000000E+000,  0.10773353899E-007,  0.16364853457E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270943359E+005,  0.12283455763E+000,  0.10214940848E-005,  0.00000000000E+000,  0.10773351430E-007,  0.16364849704E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72270966797E+005,  0.12283450048E+000,  0.10214936059E-005,  0.00000000000E+000,  0.10773346382E-007,  0.16364842028E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72271013672E+005,  0.12283438212E+000,  0.10214926141E-005,  0.00000000000E+000,  0.10773335927E-007,  0.16364826132E-010,  0.00000000000E+000,  0.00000000000E+000
  0.72271107422E+005,  0.12283413452E+000,  0.10214905394E-005,  0.00000000000E+000,  0.10773314058E-007,  0.16364792880E-010,  0.00000000000E+000,  0.00000000000E+000
